# motif_id,sequence_name
filter1,59
filter6,1480
filter8,2492
filter9,50
filter10,25
filter11,498
filter14,463
filter15,29
filter23,888
filter28,172
filter34,4
filter35,20
filter40,35
filter43,344
filter44,563
filter47,134
filter50,41
filter51,345
filter65,108
filter66,157
filter67,825
filter68,10
filter69,113
filter70,151
filter78,2673
filter80,122
filter85,76
filter89,1861
filter93,2697
filter94,2788
filter97,756
filter102,191
filter105,1050
filter106,1234
filter112,968
filter115,240
filter120,70
filter122,1233
filter123,3179
filter124,151
filter127,69
filter129,350
filter132,124
filter133,3446
filter135,995
filter151,763
filter154,447
filter155,199
filter157,456
filter165,2912
filter166,70
filter167,1491
filter170,65
filter173,129
filter174,7
filter178,738
filter183,60
filter185,227
filter186,30
filter190,2086
filter194,56
filter195,3
filter196,284
filter198,724
filter202,259
filter205,3403
filter209,104
filter214,127
filter217,1394
filter218,2299
filter219,62
filter220,46
filter223,72
filter224,2181
filter227,22
filter230,2606
filter231,1072
filter238,53
filter242,505
filter244,618
filter247,768
filter250,1509
filter252,272
filter255,3462
filter257,948
filter260,3300
filter264,347
filter270,63
filter275,1205
filter276,3199
filter279,679
filter281,284
filter283,60
filter284,275
filter286,3089
filter288,225
filter290,180
filter292,25
filter297,130
